group,city,state,statePop,ideology,gpsByState,gpsPerCapita
H.L. Mencken Club,Elizabethtown,Pennsylvania,12791181,White Nationalist,36,0.28144391
United Northern and Southern Knights of the Ku Klux Klan,Ellijay,Georgia,10297484,Ku Klux Klan,38,0.369022181
American Freedom Alliance,Encino,California,39148760,Anti-Muslim,88,0.22478362
Occidental Dissent,Eufaula,Alabama,4864680,White Nationalist,16,0.328901387
Proud Boys,Eugene,Oregon,4081943,General Hate,15,0.367472059
Third Reich Books,Fairbury,Nebraska,1904760,Neo-Nazi,6,0.315000315
Refugee Resettlement Watch,Fairplay,Maryland,6003435,Anti-Muslim,20,0.333142609
Israelite School of Universal Practical Knowledge,Fayetteville,North Carolina,10155624,Black Separatist,32,0.315096345
Church Militant/St. Michael's Media,Ferndale,Michigan,9957488,Anti-LGBTQ,27,0.271152724
Rise Align Ignite Reclaim,Fishkill,New York,19618453,Anti-Muslim,44,0.224278642
Exodus/Americanus,Floyds Knobs,Indiana,6637426,White Nationalist,20,0.301321627
Christian Action Network,Forest,Virginia,8413774,Anti-Muslim,36,0.427869824
The Remnant/The Remnant Press,Forest Lake,Minnesota,5527358,Radical Traditional Catholicism,12,0.217101914
D. James Kennedy Ministries,Fort Lauderdale,Florida,20598139,Anti-LGBTQ,67,0.325272103
Nation of Islam,Fort Lauderdale,Florida,20598139,Black Separatist,67,0.325272103
Mass Resistance,Fort Worth,Texas,27885195,Anti-LGBTQ,63,0.225926338
Stedfast Baptist Church,Fort Worth,Texas,27885195,Anti-LGBTQ,63,0.225926338
Israelite School of Universal Practical Knowledge,Fort Worth,Texas,27885195,Black Separatist,63,0.225926338
Nation of Islam,Fort Worth,Texas,27885195,Black Separatist,63,0.225926338
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,Framingham,Massachusetts,6830193,General Hate,15,0.219613121
American Family Association,Franklin,Pennsylvania,12791181,Anti-LGBTQ,36,0.28144391
Proclaiming Justice to the Nations,Franklin,Tennessee,6651089,Anti-Muslim,38,0.57133501
Jewish Task Force,Fresh Meadows,New York,19618453,General Hate,44,0.224278642
Proud Boys,Fresno,California,39148760,General Hate,88,0.22478362
American College of Pediatricians,Gainesville,Florida,20598139,Anti-LGBTQ,67,0.325272103
League of the South,Gallatin,Tennessee,6651089,Neo-Confederate,38,0.57133501
Family Watch International,Gilbert,Arizona,6946685,Anti-LGBTQ,21,0.302302465
United Families International,Gilbert,Arizona,6946685,Anti-LGBTQ,21,0.302302465
Patriotic Brigade Knights of the Ku Klux Klan,Gladewater,Texas,27885195,Ku Klux Klan,63,0.225926338
In the Spirit of Chartres Committee,Glenelg,Maryland,6003435,Radical Traditional Catholicism,20,0.333142609
American Freedom Party,Granbury,Texas,27885195,White Nationalist,63,0.225926338
Israel United In Christ,Grand Rapids,Michigan,9957488,Black Separatist,27,0.271152724
Nation of Islam,Grand Rapids,Michigan,9957488,Black Separatist,27,0.271152724
Gallows Tree Wotansvolk Alliance,Grand Rapids,Michigan,9957488,Neo-Volkisch,27,0.271152724
Wolf Age,Grass Valley,California,39148760,Neo-Volkisch,88,0.22478362
Catholic Apologetics International,Greencastle,Pennsylvania,12791181,Radical Traditional Catholicism,36,0.28144391
Israelite School of Universal Practical Knowledge,Greensboro,North Carolina,10155624,Black Separatist,32,0.315096345
Nation of Islam,Greensboro,North Carolina,10155624,Black Separatist,32,0.315096345
Israelite School of Universal Practical Knowledge,Greenville,North Carolina,10155624,Black Separatist,32,0.315096345
Israelite School of Universal Practical Knowledge,Greenville,South Carolina,4955925,Black Separatist,17,0.343023754
Nation of Islam,Greenville,South Carolina,4955925,Black Separatist,17,0.343023754
United Kingdom of Israel Congregation,Hampton,Virginia,8413774,Black Separatist,36,0.427869824
American Freedom Union,Hampton Township,Pennsylvania,12791181,White Nationalist,36,0.28144391
American Identity Movement,Harpers Ferry,West Virginia,1829054,White Nationalist,4,0.218692286
Christian Revival Center,Harrison,Arkansas,2990671,Christian Identity,15,0.501559683
Kingdom Identity Ministries,Harrison,Arkansas,2990671,Christian Identity,15,0.501559683
Ozark Craft LC,Harrison,Arkansas,2990671,General Hate,15,0.501559683
Knights of the Ku Klux Klan,Harrison,Arkansas,2990671,Ku Klux Klan,15,0.501559683
League of the South,Harrison,Arkansas,2990671,Neo-Confederate,15,0.501559683
Red Ice,Harrisonburg,Virginia,8413774,White Nationalist,36,0.427869824
Israelite School of Universal Practical Knowledge,Hartford,Connecticut,3581504,Black Separatist,8,0.223369847
The United Nuwaupians Worldwide/All Eyes on Egipt,Hartford,Connecticut,3581504,General Hate,8,0.223369847
ACT for America,Hauppauge,New York,19618453,Anti-Muslim,44,0.224278642
Israel United In Christ,Heath,Ohio,11641879,Black Separatist,31,0.26628004
ACT for America,Heathrow,Florida,20598139,Anti-Muslim,67,0.325272103
Pass the Salt Ministries,Hebron,Ohio,11641879,Anti-LGBTQ,31,0.26628004
Virginia Christian Alliance,Henrico,Virginia,8413774,Anti-Muslim,36,0.427869824
Sharkhunters International,Hernando,Florida,20598139,General Hate,67,0.325272103
Sea Jay Foundation,Highlands Ranch,Colorado,5531141,Anti-Muslim,22,0.397747951
National Alliance,Hillsboro,West Virginia,1829054,Neo-Nazi,4,0.218692286
League of the South,Holly Springs,Mississippi,2988762,Neo-Confederate,12,0.401504034
Great Millstone,Honolulu,Hawaii,1422029,Black Separatist,4,0.281288216
Israel United In Christ,Honolulu,Hawaii,1422029,Black Separatist,4,0.281288216
Revolutionary Black Panther Party,Hope,Arkansas,2990671,Black Separatist,15,0.501559683
The Right Stuff,Hopewell Junction,New York,19618453,White Nationalist,44,0.224278642
ACT for America,Hopkinton,Massachusetts,6830193,Anti-Muslim,15,0.219613121
Texans for Immigration Reduction and Enforcement,Houston,Texas,27885195,Anti-Immigrant,63,0.225926338
The Remembrance Project,Houston,Texas,27885195,Anti-Immigrant,63,0.225926338
Mass Resistance,Houston,Texas,27885195,Anti-LGBTQ,63,0.225926338
ACT for America,Houston,Texas,27885195,Anti-Muslim,63,0.225926338
Great Millstone,Houston,Texas,27885195,Black Separatist,63,0.225926338
Israel United In Christ,Houston,Texas,27885195,Black Separatist,63,0.225926338
Israelite School of Universal Practical Knowledge,Houston,Texas,27885195,Black Separatist,63,0.225926338
Mountains of Israel,Houston,Texas,27885195,Black Separatist,63,0.225926338
Nation of Islam,Houston,Texas,27885195,Black Separatist,63,0.225926338
New Black Panther Party,Houston,Texas,27885195,Black Separatist,63,0.225926338
Proud Boys,Houston,Texas,27885195,General Hate,63,0.225926338
A Voice For Men,Houston,Texas,27885195,Male Supremacy,63,0.225926338
Rise Above Movement,Huntington Beach,California,39148760,White Nationalist,88,0.22478362
Israelites Saints of Christ,Huntsville,Alabama,4864680,Black Separatist,16,0.328901387
Cultures In Context Incorporated/Turning Point Project,Immokalee,Florida,20598139,Anti-Muslim,67,0.325272103
Great Millstone,Indianapolis,Indiana,6637426,Black Separatist,20,0.301321627
Israelite School of Universal Practical Knowledge,Indianapolis,Indiana,6637426,Black Separatist,20,0.301321627
Nation of Islam,Indianapolis,Indiana,6637426,Black Separatist,20,0.301321627
House of Israel,Inglewood,California,39148760,Black Separatist,88,0.22478362
Bureau on American Islamic Relations,Irving,Texas,27885195,Anti-Muslim,63,0.225926338
Israel United In Christ,Jackson,Mississippi,2988762,Black Separatist,12,0.401504034
Stedfast Baptist Church,Jacksonville,Florida,20598139,Anti-LGBTQ,67,0.325272103
ACT for America,Jacksonville,Florida,20598139,Anti-Muslim,67,0.325272103
Israel United In Christ,Jacksonville,Florida,20598139,Black Separatist,67,0.325272103
Israelite School of Universal Practical Knowledge,Jacksonville,Florida,20598139,Black Separatist,67,0.325272103
Nation of Islam,Jacksonville,Florida,20598139,Black Separatist,67,0.325272103
New Black Panther Party for Self Defense,Jacksonville,Florida,20598139,Black Separatist,67,0.325272103
Proud Boys,Jacksonville,Florida,20598139,General Hate,67,0.325272103
League of the South,Jacksonville,Florida,20598139,Neo-Confederate,67,0.325272103
ACT for America,Jonesboro,Arkansas,2990671,Anti-Muslim,15,0.501559683
Sure Foundation Baptist Church,Kailua,Hawaii,1422029,Anti-LGBTQ,4,0.281288216
Pioneer Little Europe Kalispell Montana,Kalispell,Montana,1041732,White Nationalist,6,0.575963876
Israel United In Christ,Kansas City,Kansas,2908776,Black Separatist,3,0.103136164
ACT for America,Kansas City,Missouri,6090062,Anti-Muslim,21,0.344824076
Great Millstone,Kansas City,Missouri,6090062,Black Separatist,21,0.344824076
Israelite School of Universal Practical Knowledge,Kansas City,Missouri,6090062,Black Separatist,21,0.344824076
Nation of Islam,Kansas City,Missouri,6090062,Black Separatist,21,0.344824076
Proud Boys,Kansas City,Missouri,6090062,General Hate,21,0.344824076
carolynyeager.net,Kerrville,Texas,27885195,Holocaust Denial,63,0.225926338
Faith and Heritage,Killeen,Texas,27885195,White Nationalist,63,0.225926338
League of the South,Killen,Alabama,4864680,Neo-Confederate,16,0.328901387
Vanguard News Network,Kirksville,Missouri,6090062,Neo-Nazi,21,0.344824076
National Socialist Movement,Kissimmee,Florida,20598139,Neo-Nazi,67,0.325272103
All Scripture Baptist Church,Knoxville,Tennessee,6651089,Anti-LGBTQ,38,0.57133501
ACT for America,Knoxville,Tennessee,6651089,Anti-Muslim,38,0.57133501
League of the South,Knoxville,Tennessee,6651089,Neo-Confederate,38,0.57133501
Legion of St. Ambrose,Knoxville,Tennessee,6651089,White Nationalist,38,0.57133501
Shieldwall Network,Knoxville,Tennessee,6651089,White Nationalist,38,0.57133501
ACT for America,Lafayette,Indiana,6637426,Anti-Muslim,20,0.301321627
Israel United In Christ,Lafayette,Louisiana,4663616,Black Separatist,21,0.450294364
Occidental Observer,Laguna Hills,California,39148760,White Nationalist,88,0.22478362
ACT for America,Laguna Woods,California,39148760,Anti-Muslim,88,0.22478362
Ruth Institute,Lake Charles,Louisiana,4663616,Anti-LGBTQ,21,0.450294364
League of the South,Lake City,Florida,20598139,Neo-Confederate,67,0.325272103
The United West,Lake Worth,Florida,20598139,Anti-Muslim,67,0.325272103
Colorado Alliance for Immigration Reform,Lakewood,Colorado,5531141,Anti-Immigrant,22,0.397747951
American Freedom Party,Lakewood Ranch,Florida,20598139,White Nationalist,67,0.325272103
Scriptures for America Worldwide Ministries,Laporte,Colorado,5531141,Christian Identity,22,0.397747951
Mass Resistance,Las Vegas,Nevada,2922849,Anti-LGBTQ,9,0.307918746
Black Riders Liberation Party,Las Vegas,Nevada,2922849,Black Separatist,9,0.307918746
Great Millstone,Las Vegas,Nevada,2922849,Black Separatist,9,0.307918746
Israel United In Christ,Las Vegas,Nevada,2922849,Black Separatist,9,0.307918746
A2Z Publications,Las Vegas,Nevada,2922849,General Hate,9,0.307918746
The Right Stuff,Las Vegas,Nevada,2922849,White Nationalist,9,0.307918746
National Alliance,Laurel Bloomery,Tennessee,6651089,Neo-Nazi,38,0.57133501
Ku Klos Knights of the Ku Klux Klan,Lawrenceville,Illinois,12821497,Ku Klux Klan,26,0.202784433
Nation of Islam,Lexington,Kentucky,4440204,Black Separatist,15,0.337822316
Mass Resistance,Lexington Park,Maryland,6003435,Anti-LGBTQ,20,0.333142609
National Socialist German Workers Party,Lincoln,Nebraska,1904760,Neo-Nazi,6,0.315000315
Patriot Movement AZ,Litchfield Park,Arizona,6946685,General Hate,21,0.302302465
The United Nuwaupians Worldwide/All Eyes on Egipt,Lithonia,Georgia,10297484,General Hate,38,0.369022181
Great Millstone,Little Rock,Arkansas,2990671,Black Separatist,15,0.501559683
Israel United In Christ,Little Rock,Arkansas,2990671,Black Separatist,15,0.501559683
Proud Boys,Little Rock,Arkansas,2990671,General Hate,15,0.501559683
Racial Nationalist Party of America,Lockport,New York,19618453,White Nationalist,44,0.224278642
Sicarii 1715,Long Beach,California,39148760,Black Separatist,88,0.22478362
Insight USA,Longwood,Florida,20598139,General Hate,67,0.325272103
ACT for America,Los Angeles,California,39148760,Anti-Muslim,88,0.22478362
Glasov Gang Productions,Los Angeles,California,39148760,Anti-Muslim,88,0.22478362
Black Riders Liberation Party,Los Angeles,California,39148760,Black Separatist,88,0.22478362
Great Millstone,Los Angeles,California,39148760,Black Separatist,88,0.22478362
Israel United In Christ,Los Angeles,California,39148760,Black Separatist,88,0.22478362
Israelite School of Universal Practical Knowledge,Los Angeles,California,39148760,Black Separatist,88,0.22478362
Nation of Islam,Los Angeles,California,39148760,Black Separatist,88,0.22478362
True Nation Israelite Congregation,Los Angeles,California,39148760,Black Separatist,88,0.22478362
Official Street Preachers,Los Angeles,California,39148760,General Hate,88,0.22478362
The King Samir Black Survival Group,Los Angeles,California,39148760,General Hate,88,0.22478362
Tradition in Action,Los Angeles,California,39148760,Radical Traditional Catholicism,88,0.22478362
American Freedom Party,Los Angeles,California,39148760,White Nationalist,88,0.22478362
American Identity Movement,Los Angeles,California,39148760,White Nationalist,88,0.22478362
The Base,Los Angeles,California,39148760,White Nationalist,88,0.22478362
The Right Stuff,Los Angeles,California,39148760,White Nationalist,88,0.22478362
Israel United In Christ,Louisville,Kentucky,4440204,Black Separatist,15,0.337822316
Israelite School of Universal Practical Knowledge,Louisville,Kentucky,4440204,Black Separatist,15,0.337822316
Nation of Islam,Louisville,Kentucky,4440204,Black Separatist,15,0.337822316
Revolutionary Black Panther Party,Louisville,Kentucky,4440204,Black Separatist,15,0.337822316
Israel United In Christ,Lubbock,Texas,27885195,Black Separatist,63,0.225926338
Wolves of Vinland,Lynchburg,Virginia,8413774,Neo-Volkisch,36,0.427869824
The Colchester Collection,Machias,Maine,1332813,White Nationalist,2,0.15005856
All Eyes On Egypt Bookstore,Macon,Georgia,10297484,General Hate,38,0.369022181
Honorable Sacred Knights of the Ku Klux Klan,Madison,Indiana,6637426,Ku Klux Klan,20,0.301321627
Micetrap Distribution,Maple Shade Township,New Jersey,8881845,Hate Music,21,0.236437362
The Straight Way and More,Marble Hill,Missouri,6090062,Anti-Muslim,21,0.344824076
National Socialist Movement,Maricopa,Arizona,6946685,Neo-Nazi,21,0.302302465
The Dustin Inman Society,Marietta,Georgia,10297484,Anti-Immigrant,38,0.369022181
Rebel Brigade Knights True Invisible Empire,Martinsville,Virginia,8413774,Ku Klux Klan,36,0.427869824
League of the South,McKee,Kentucky,4440204,Neo-Confederate,15,0.337822316
Great Millstone,Memphis,Tennessee,6651089,Black Separatist,38,0.57133501
Israel United In Christ,Memphis,Tennessee,6651089,Black Separatist,38,0.57133501
Nation of Islam,Memphis,Tennessee,6651089,Black Separatist,38,0.57133501
New Black Panther Party for Self Defense,Memphis,Tennessee,6651089,Black Separatist,38,0.57133501
Confederate 901,Memphis,Tennessee,6651089,Neo-Confederate,38,0.57133501
The Right Stuff,Memphis,Tennessee,6651089,White Nationalist,38,0.57133501
G416 Patriots,Meridian,Idaho,1687809,Anti-Muslim,7,0.414738872
Public Advocate of the United States,Merrifield,Virginia,8413774,Anti-LGBTQ,36,0.427869824
ACT for America,Metairie,Louisiana,4663616,Anti-Muslim,21,0.450294364
Great Millstone,Miami,Florida,20598139,Black Separatist,67,0.325272103
Israel United In Christ,Miami,Florida,20598139,Black Separatist,67,0.325272103
Nation of Islam,Miami,Florida,20598139,Black Separatist,67,0.325272103
Proud Boys,Miami,Florida,20598139,General Hate,67,0.325272103
Committee for Open Debate on the Holocaust,Mill Valley,California,39148760,Holocaust Denial,88,0.22478362
Great Millstone,Milwaukee,Wisconsin,5778394,Black Separatist,15,0.259587699
Israelite School of Universal Practical Knowledge,Milwaukee,Wisconsin,5778394,Black Separatist,15,0.259587699
Nation of Islam,Milwaukee,Wisconsin,5778394,Black Separatist,15,0.259587699
Stahlhelm Records,Milwaukee,Wisconsin,5778394,Hate Music,15,0.259587699
New Order,Milwaukee,Wisconsin,5778394,Neo-Nazi,15,0.259587699
The Heathen Coalition,Milwaukee,Wisconsin,5778394,Neo-Volkisch,15,0.259587699
Israelite School of Universal Practical Knowledge,Minneapolis,Minnesota,5527358,Black Separatist,12,0.217101914
ACT for America,Mission Viejo,California,39148760,Anti-Muslim,88,0.22478362
Israel United In Christ,Mobile,Alabama,4864680,Black Separatist,16,0.328901387
Nation of Islam,Mobile,Alabama,4864680,Black Separatist,16,0.328901387
Help Save Maryland,Monkton,Maryland,6003435,Anti-Immigrant,20,0.333142609
Nation of Islam,Monroe,Louisiana,4663616,Black Separatist,21,0.450294364
Pilgrims Covenant Church,Monroe,Wisconsin,5778394,Anti-LGBTQ,15,0.259587699
American Immigration Control Foundation/Americans for Immigration Control,Monterey,Virginia,8413774,Anti-Immigrant,36,0.427869824
Nation of Islam,Montgomery,Alabama,4864680,Black Separatist,16,0.328901387
United Klans of America,Morrison,Tennessee,6651089,Ku Klux Klan,38,0.57133501
Divine International Church of the Web,Morton,Illinois,12821497,Christian Identity,26,0.202784433
American Christian Knights of the Ku Klux Klan,Moselle,Mississippi,2988762,Ku Klux Klan,12,0.401504034
Sharia Crime Stoppers,Mount Clemens,Michigan,9957488,Anti-Muslim,27,0.271152724
Israel United In Christ,Mount Vernon,New York,19618453,Black Separatist,44,0.224278642
Lions of Israel,Mount Vernon,New York,19618453,Black Separatist,44,0.224278642
Sacred Truth Publishing & Ministries,Mountain City,Tennessee,6651089,Christian Identity,38,0.57133501
Shieldwall Network,Mountain View,Arkansas,2990671,White Nationalist,15,0.501559683
Americans for Truth About Homosexuality,Naperville,Illinois,12821497,Anti-LGBTQ,26,0.202784433
ACT for America,Nashua,New Hampshire,1343622,Anti-Muslim,4,0.297702777
Political Islam,Nashville,Tennessee,6651089,Anti-Muslim,38,0.57133501
Great Millstone,Nashville,Tennessee,6651089,Black Separatist,38,0.57133501
Israel United In Christ,Nashville,Tennessee,6651089,Black Separatist,38,0.57133501
Israelite School of Universal Practical Knowledge,Nashville,Tennessee,6651089,Black Separatist,38,0.57133501
The Foundry,New Carlisle,Ohio,11641879,White Nationalist,31,0.26628004
Israel United In Christ,New Orleans,Louisiana,4663616,Black Separatist,21,0.450294364
Nation of Islam,New Orleans,Louisiana,4663616,Black Separatist,21,0.450294364
New Black Panther Party,New Orleans,Louisiana,4663616,Black Separatist,21,0.450294364
Proud Boys,New Orleans,Louisiana,4663616,General Hate,21,0.450294364
American Identity Movement,New Orleans,Louisiana,4663616,White Nationalist,21,0.450294364
ATLAH Media Network,New York,New York,19618453,Anti-LGBTQ,44,0.224278642
Center for Family and Human Rights (C-FAM),New York,New York,19618453,Anti-LGBTQ,44,0.224278642
American Freedom Defense Initiative,New York,New York,19618453,Anti-Muslim,44,0.224278642
Black Riders Liberation Party,New York,New York,19618453,Black Separatist,44,0.224278642
Great Millstone,New York,New York,19618453,Black Separatist,44,0.224278642
House of Israel,New York,New York,19618453,Black Separatist,44,0.224278642
Israelite School of Universal Practical Knowledge,New York,New York,19618453,Black Separatist,44,0.224278642
Nation of Islam,New York,New York,19618453,Black Separatist,44,0.224278642
Revolutionary Black Panther Party,New York,New York,19618453,Black Separatist,44,0.224278642
Proud Boys,New York,New York,19618453,General Hate,44,0.224278642
Tony Alamo Christian Ministries,New York,New York,19618453,General Hate,44,0.224278642
United Riot Records,New York,New York,19618453,Hate Music,44,0.224278642
American Freedom Party,New York,New York,19618453,White Nationalist,44,0.224278642
Arktos Media,New York,New York,19618453,White Nationalist,44,0.224278642
The Base,New York,New York,19618453,White Nationalist,44,0.224278642
Israel United In Christ,Newark,New Jersey,8881845,Black Separatist,21,0.236437362
Nation of Islam,Newark,New Jersey,8881845,Black Separatist,21,0.236437362
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,Newmanstown,Pennsylvania,12791181,General Hate,36,0.28144391
Asatru Folk Assembly,Newport,Minnesota,5527358,Neo-Volkisch,12,0.217101914
Institute for Historical Review,Newport Beach,California,39148760,Holocaust Denial,88,0.22478362
Israel United In Christ,Newport News,Virginia,8413774,Black Separatist,36,0.427869824
The Shoebat Foundation,Newtown,Pennsylvania,12791181,Anti-Muslim,36,0.28144391
"Catholic Family News/Catholic Family Ministries, Inc.",Niagara Falls,New York,19618453,Radical Traditional Catholicism,44,0.224278642
Strong Hold Baptist Church,Norcross,Georgia,10297484,Anti-LGBTQ,38,0.369022181
Nation of Islam,Norfolk,Virginia,8413774,Black Separatist,36,0.427869824
IHS Press,Norfolk,Virginia,8413774,Radical Traditional Catholicism,36,0.427869824
Nation of Islam,North Charleston,South Carolina,4955925,Black Separatist,17,0.343023754
Nation of Islam,North Little Rock,Arkansas,2990671,Black Separatist,15,0.501559683
Faith2Action,North Royalton,Ohio,11641879,Anti-LGBTQ,31,0.26628004
Golden State Skinheads,Northern,California,39148760,Racist Skinhead,88,0.22478362
Great Millstone,Oakland,California,39148760,Black Separatist,88,0.22478362
Israelite School of Universal Practical Knowledge,Oakland,California,39148760,Black Separatist,88,0.22478362
Nation of Islam,Oakland,California,39148760,Black Separatist,88,0.22478362
American Renaissance/New Century Foundation,Oakton,Virginia,8413774,White Nationalist,36,0.427869824
League of the South,Ocala,Florida,20598139,Neo-Confederate,67,0.325272103
Stedfast Baptist Church,Oklahoma City,Oklahoma,3918137,Anti-LGBTQ,10,0.255223337
Israel United In Christ,Oklahoma City,Oklahoma,3918137,Black Separatist,10,0.255223337
Israelite School of Universal Practical Knowledge,Oklahoma City,Oklahoma,3918137,Black Separatist,10,0.255223337
Nation of Islam,Oklahoma City,Oklahoma,3918137,Black Separatist,10,0.255223337
Global Faith Institute,Omaha,Nebraska,1904760,Anti-Muslim,6,0.315000315
Great Millstone,Omaha,Nebraska,1904760,Black Separatist,6,0.315000315
Chick Publications,Ontario,California,39148760,General Hate,88,0.22478362
ACT for America,Oostburg,Wisconsin,5778394,Anti-Muslim,15,0.259587699
Liberty Counsel,Orlando,Florida,20598139,Anti-LGBTQ,67,0.325272103
Israel United In Christ,Orlando,Florida,20598139,Black Separatist,67,0.325272103
Nation of Kings and Priests,Orlando,Florida,20598139,Black Separatist,67,0.325272103
Sicarii 1715,Orlando,Florida,20598139,Black Separatist,67,0.325272103
Proud Boys,Orlando,Florida,20598139,General Hate,67,0.325272103
Christogenea,Panama City,Florida,20598139,Christian Identity,67,0.325272103
League of the South,Panama City,Florida,20598139,Neo-Confederate,67,0.325272103
The Foundry,Paoli,Indiana,6637426,White Nationalist,20,0.301321627
Loyal White Knights of the Ku Klux Klan,Pelham,North Carolina,10155624,Ku Klux Klan,32,0.315096345
Nation of Islam,Pensacola,Florida,20598139,Black Separatist,67,0.325272103
Social Contract Press,Petoskey,Michigan,9957488,White Nationalist,27,0.271152724
Israel United In Christ,Philadelphia,Pennsylvania,12791181,Black Separatist,36,0.28144391
Nation of Islam,Philadelphia,Pennsylvania,12791181,Black Separatist,36,0.28144391
Revolutionary Black Panther Party,Philadelphia,Pennsylvania,12791181,Black Separatist,36,0.28144391
Trumpet in Philly,Philadelphia,Pennsylvania,12791181,Black Separatist,36,0.28144391
Proud Boys,Philadelphia,Pennsylvania,12791181,General Hate,36,0.28144391
The United Nuwaupians Worldwide/All Eyes on Egipt,Philadelphia,Pennsylvania,12791181,General Hate,36,0.28144391
Feuerkrieg Division,Philadelphia,Pennsylvania,12791181,Neo-Nazi,36,0.28144391
Be Active Front USA,Philadelphia,Pennsylvania,12791181,Racist Skinhead,36,0.28144391
Bomb Islam,Phoenix,Arizona,6946685,Anti-Muslim,21,0.302302465
Israel United In Christ,Phoenix,Arizona,6946685,Black Separatist,21,0.302302465
Israelite School of Universal Practical Knowledge,Phoenix,Arizona,6946685,Black Separatist,21,0.302302465
Nation of Islam,Phoenix,Arizona,6946685,Black Separatist,21,0.302302465
True Nation Israelite Congregation,Phoenix,Arizona,6946685,Black Separatist,21,0.302302465
Nation of Islam,Pine Bluff,Arkansas,2990671,Black Separatist,15,0.501559683
ACT for America,Pittsburgh,Pennsylvania,12791181,Anti-Muslim,36,0.28144391
Nation of Islam,Pittsburgh,Pennsylvania,12791181,Black Separatist,36,0.28144391
The Israelite Church of God in Jesus Christ,Pittsburgh,Pennsylvania,12791181,Black Separatist,36,0.28144391
American Defense Records/Birthrite Services,Pittsburgh,Pennsylvania,12791181,Hate Music,36,0.28144391
Nation of Islam,Plainfield,New Jersey,8881845,Black Separatist,21,0.236437362
Probe Ministries,Plano,Texas,27885195,Anti-LGBTQ,63,0.225926338
Tribal Theocrat,Plano,Texas,27885195,White Nationalist,63,0.225926338
Floridians for Immigration Enforcement,Pompano Beach,Florida,20598139,Anti-Immigrant,67,0.325272103
Black Riders Liberation Party,Portland,Oregon,4081943,Black Separatist,15,0.367472059
Proud Boys,Portland,Oregon,4081943,General Hate,15,0.367472059
The Realist Report,Poway,California,39148760,Holocaust Denial,88,0.22478362
American Vision,Powder Springs,Georgia,10297484,Anti-LGBTQ,38,0.369022181
League of the South,Powder Springs,Georgia,10297484,Neo-Confederate,38,0.369022181
The Brother Nathanael Foundation,Priest River,Idaho,1687809,General Hate,7,0.414738872
Fundamentalist Latter Day Saints,Pringle,South Dakota,864289,General Hate,4,0.462808158
Northern Kingdom Prophets,Pueblo,Colorado,5531141,Black Separatist,22,0.397747951
Americans for Legal Immigration (ALIPAC),Raleigh,North Carolina,10155624,Anti-Immigrant,32,0.315096345
Masharah Yasharahla - Government of Israel,Raleigh,North Carolina,10155624,Black Separatist,32,0.315096345
PzG Inc.,Rapid City,South Dakota,864289,Neo-Nazi,4,0.462808158
Nation of Islam,Rialto,California,39148760,Black Separatist,88,0.22478362
Israelite School of Universal Practical Knowledge,Richmond,Virginia,8413774,Black Separatist,36,0.427869824
Israelites Saints of Christ,Richmond,Virginia,8413774,Black Separatist,36,0.427869824
Nation of Islam,Richmond,Virginia,8413774,Black Separatist,36,0.427869824
Proud Boys,Richmond,Virginia,8413774,General Hate,36,0.427869824
Confederate Knights of the Ku Klux Klan,Richmond,Virginia,8413774,Ku Klux Klan,36,0.427869824
BeaSSt Productions,Roanoke,Virginia,8413774,Hate Music,36,0.427869824
Israel United In Christ,Rochester,New York,19618453,Black Separatist,44,0.224278642
Nation of Islam,Rochester,New York,19618453,Black Separatist,44,0.224278642
CarolynEmerick.com/Folkright.com,Rochester,New York,19618453,Neo-Volkisch,44,0.224278642
Liberty Baptist Church,Rock Falls,Illinois,12821497,Anti-LGBTQ,26,0.202784433
World Congress of Families/International Organization for the Family,Rockford,Illinois,12821497,Anti-LGBTQ,26,0.202784433
Nation of Islam,Rockford,Illinois,12821497,Black Separatist,26,0.202784433
The Base,Rome,Georgia,10297484,White Nationalist,38,0.369022181
Pacific Justice Institute,Sacramento,California,39148760,Anti-LGBTQ,88,0.22478362
Save California,Sacramento,California,39148760,Anti-LGBTQ,88,0.22478362
Verity Baptist Church,Sacramento,California,39148760,Anti-LGBTQ,88,0.22478362
Israel United In Christ,Sacramento,California,39148760,Black Separatist,88,0.22478362
Proud Boys,Sacramento,California,39148760,General Hate,88,0.22478362
American Identity Movement,Sacramento,California,39148760,White Nationalist,88,0.22478362
Oregonians for Immigration Reform,Salem,Oregon,4081943,Anti-Immigrant,15,0.367472059
Pacific Justice Institute,Salem,Oregon,4081943,Anti-LGBTQ,15,0.367472059
Proud Boys,Salem,Oregon,4081943,General Hate,15,0.367472059
Kingston Group,Salt Lake City,Utah,3045350,General Hate,5,0.164184741
American Identity Movement,Salt Lake City,Utah,3045350,White Nationalist,5,0.164184741
Great Millstone,San Antonio,Texas,27885195,Black Separatist,63,0.225926338
Israel United In Christ,San Antonio,Texas,27885195,Black Separatist,63,0.225926338
Nation of Islam,San Antonio,Texas,27885195,Black Separatist,63,0.225926338
Odinsvakt Kindred,San Antonio,Texas,27885195,Neo-Volkisch,63,0.225926338
Sicarii 1715,San Bernardino,California,39148760,Black Separatist,88,0.22478362
San Diegans for Secure Borders,San Diego,California,39148760,Anti-Immigrant,88,0.22478362
Mass Resistance,San Diego,California,39148760,Anti-LGBTQ,88,0.22478362
